Biss,"Congrats, your current earnings are : $2.35. Type 'biss earnings' for more info @Jake The Investor ",2021-05-24 19:07:55,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
Jake The Investor,biss 52 weeks,2021-05-24 19:26:20,UC0s6SuFtYCikrvtEONwyH7Q,https://youtube.com/channel/UC0s6SuFtYCikrvtEONwyH7Q
Author,Message,Date,Channel ID,Channel
Biss,"Congrats, your current earnings are : $3.35. Type 'biss earnings' for more info @Jake The Investor ",2021-05-24 19:26:53,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
Will Tucker,#Biss you giving away money? cashapp me bro,2021-05-24 19:27:33,UC-RQKfmxlAEVc1lQAHO0jyg,https://youtube.com/channel/UC-RQKfmxlAEVc1lQAHO0jyg
Author,Message,Date,Channel ID,Channel
Will Tucker,#Biss ? what that mean,2021-05-24 19:40:48,UC-RQKfmxlAEVc1lQAHO0jyg,https://youtube.com/channel/UC-RQKfmxlAEVc1lQAHO0jyg
Author,Message,Date,Channel ID,Channel
Jake The Investor,biss earnings,2021-05-24 19:43:49,UC0s6SuFtYCikrvtEONwyH7Q,https://youtube.com/channel/UC0s6SuFtYCikrvtEONwyH7Q
Author,Message,Date,Channel ID,Channel
Biss,$3.35. you can add an XMR wallet for payout by saying 'biss update wallet' @Jake The Investor ,2021-05-24 19:44:25,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
Sarge,Biss earnings,2021-05-24 19:47:15,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Biss,$0.10. you can add an XMR wallet for payout by saying 'biss update wallet' @Sarge ,2021-05-24 19:47:29,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
Jake The Investor,biss there are 52 mf weeks in a year ,2021-05-24 19:52:56,UC0s6SuFtYCikrvtEONwyH7Q,https://youtube.com/channel/UC0s6SuFtYCikrvtEONwyH7Q
Author,Message,Date,Channel ID,Channel
Biss,"Congrats, your current earnings are : $4.35. Type 'biss earnings' for more info @Jake The Investor ",2021-05-24 19:53:29,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
Will Tucker,"#Biss ""stan"" ?",2021-05-24 20:53:05,UC-RQKfmxlAEVc1lQAHO0jyg,https://youtube.com/channel/UC-RQKfmxlAEVc1lQAHO0jyg
Will Tucker,#Biss what's that mean,2021-05-24 20:53:13,UC-RQKfmxlAEVc1lQAHO0jyg,https://youtube.com/channel/UC-RQKfmxlAEVc1lQAHO0jyg
Author,Message,Date,Channel ID,Channel
Will Tucker,#Biss how do I do that,2021-05-24 20:55:04,UC-RQKfmxlAEVc1lQAHO0jyg,https://youtube.com/channel/UC-RQKfmxlAEVc1lQAHO0jyg
Author,Message,Date,Channel ID,Channel
Lya Queen,@Biss,2021-05-25 00:54:35,UCwlV1flj6goydXEkmZJbVMw,https://youtube.com/channel/UCwlV1flj6goydXEkmZJbVMw
Author,Message,Date,Channel ID,Channel
Lya Queen,@Biss,2021-05-25 00:54:35,UCwlV1flj6goydXEkmZJbVMw,https://youtube.com/channel/UCwlV1flj6goydXEkmZJbVMw
Author,Message,Date,Channel ID,Channel
Person,@Biss Charli,2021-05-25 01:10:04,UCn8GKeCvvqYy51DEjsteN3Q,https://youtube.com/channel/UCn8GKeCvvqYy51DEjsteN3Q
